VATyp;VA_Nr_(KT);Datum_von;Datum_bis;Dauer;Veranstaltungsstätte;VA_Raum;VA_Buchung_Name;Buchungsstatus;Veranstalter_1;VA_RaumFläche;Aktivitätsstatus
MV;12352;01.01.2025 12:00;01.01.2025 21:00;9;FFK;Französische Friedrichstadtkirche;Weltkonzert;Vtg ok;Weltkonzerte;0;Veranstaltung allgemein
MV;12352;01.01.2025 12:00;01.01.2025 21:00;9;FFK;Saal;Weltkonzert;Vtg ok;Weltkonzerte;720;Veranstaltung allgemein
MV;12352;01.01.2025 12:00;01.01.2025 21:00;9;FFK;Salon Godet;Weltkonzert;Vtg ok;Weltkonzerte;22;Veranstaltung allgemein
MV;12161;17.01.2025 16:00;17.01.2025 22:00;6;FFK;Französische Friedrichstadtkirche;Konzerte;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12161;17.01.2025 16:00;17.01.2025 22:00;6;FFK;Saal;Konzerte;Vtg ok;FRANZHANS 06 GmbH;720;Veranstaltung allgemein
MV;12161;17.01.2025 16:00;17.01.2025 22:00;6;FFK;Salon Godet;Konzerte;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
MV;12161;18.01.2025 16:00;18.01.2025 22:00;6;FFK;Französische Friedrichstadtkirche;Konzerte;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12161;18.01.2025 16:00;18.01.2025 22:00;6;FFK;Saal;Konzerte;Vtg ok;FRANZHANS 06 GmbH;720;Veranstaltung allgemein
MV;12161;18.01.2025 16:00;18.01.2025 22:00;6;FFK;Salon Godet;Konzerte;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
MV;12160;24.01.2025 16:00;24.01.2025 22:00;6;FFK;Französische Friedrichstadtkirche;Konzerte;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12160;24.01.2025 16:00;24.01.2025 22:00;6;FFK;Saal;Konzerte;Vtg ok;FRANZHANS 06 GmbH;720;Konzert
MV;12160;24.01.2025 16:00;24.01.2025 22:00;6;FFK;Salon Godet;Konzerte;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
MV;12160;25.01.2025 12:00;25.01.2025 18:00;6;FFK;Französische Friedrichstadtkirche;Konzerte;Vtg ok;FRANZHANS 06 GmbH;0;Veranstaltung allgemein
MV;12160;25.01.2025 12:00;25.01.2025 18:00;6;FFK;Saal;Konzerte;Vtg ok;FRANZHANS 06 GmbH;720;Veranstaltung allgemein
MV;12160;25.01.2025 12:00;25.01.2025 18:00;6;FFK;Salon Godet;Konzerte;Vtg ok;FRANZHANS 06 GmbH;22;Veranstaltung allgemein
MV;12189;05.01.2025 13:30;05.01.2025 20:00;6,5;FFK;Französische Friedrichstadtkirche;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;0;Veranstaltung allgemein
MV;12189;05.01.2025 13:30;05.01.2025 20:00;6,5;FFK;Saal;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;720;Veranstaltung allgemein
MV;12189;05.01.2025 13:30;05.01.2025 20:00;6,5;FFK;Salon Godet;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;22;Veranstaltung allgemein
MV;12189;05.01.2025 13:30;05.01.2025 20:00;6,5;FFK;Georges-Casalis-Saal;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;160;Veranstaltung allgemein
MV;12189;05.01.2025 13:30;05.01.2025 20:00;6,5;FFK;Restaurant Hugo & Notte;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;160;Veranstaltung allgemein
MV;12189;05.01.2025 13:30;05.01.2025 20:00;6,5;FFK;Rotunde;Neujahrskonzert;Vtg ok;vero - Verband der Bau- und Rohstoffindustrie e.V.;87;Veranstaltung allgemein
MV;12220;08.03.2025 11:00;08.03.2025 22:00;11;FFK;Französische Friedrichstadtkirche;Preisverleihung;Vtg ok;Soroptimist International Deutschland;0;Veranstaltung allgemein
MV;12220;08.03.2025 11:00;08.03.2025 22:00;11;FFK;Saal;Preisverleihung;Vtg ok;Soroptimist International Deutschland;720;Veranstaltung allgemein
MV;12220;08.03.2025 11:00;08.03.2025 22:00;11;FFK;Georges-Casalis-Saal;Preisverleihung;Vtg ok;Soroptimist International Deutschland;160;Veranstaltung allgemein
MV;12220;08.03.2025 11:00;08.03.2025 22:00;11;FFK;Entrée;Preisverleihung;Vtg ok;Soroptimist International Deutschland;24;Veranstaltung allgemein
MV;12220;08.03.2025 11:00;08.03.2025 22:00;11;FFK;Rotunde;Preisverleihung;Vtg ok;Soroptimist International Deutschland;87;Veranstaltung allgemein
MV;12220;08.03.2025 11:00;08.03.2025 22:00;11;FFK;Restaurant Hugo & Notte;Preisverleihung;Vtg ok;Soroptimist International Deutschland;160;Veranstaltung allgemein
