Kategorie,Raum,Dauer_Stunden
Evangelische Akademie zu Berlin gGmbH,Entrée,8.0
Evangelische Akademie zu Berlin gGmbH,Französische Friedrichstadtkirche,24.0
Evangelische Akademie zu Berlin gGmbH,Georges-Casalis-Saal,17.0
Evangelische Akademie zu Berlin gGmbH,Saal,15.0
Evangelische Akademie zu Berlin gGmbH,GESAMT,64.0
Externe Veranstalter (alle übrigen),Entrée,218.0
Externe Veranstalter (alle übrigen),Französische Friedrichstadtkirche,536.0
Externe Veranstalter (alle übrigen),Georges-Casalis-Saal,194.0
Externe Veranstalter (alle übrigen),Innenhof,23.0
Externe Veranstalter (alle übrigen),Saal,496.0
Externe Veranstalter (alle übrigen),GESAMT,1467.0
